AMD Athlon 3000G,89.99,35.0,2019-11-01,AM4,3500.0,2
AMD Athlon 300GE,0.0,35.0,2019-12-01,AM4,3400.0,2
AMD Athlon 320GE,0.0,35.0,2021-09-01,AM4,3500.0,2
AMD Athlon 5200 Dual-Core,189.95,75.0,2010-12-01,AM2,2700.0,2
AMD Athlon 64 3000+,20.0,89.0,2008-12-01,Socket 754,2000.0,1
AMD Athlon 64 3100+,0.0,89.0,2015-01-01,754,1800.0,1
AMD Athlon 64 3700+,89.95,89.0,2008-12-01,939,2200.0,1
AMD Athlon 64 FX-55,65.0,104.0,2009-02-01,939,2600.0,1
AMD Athlon 64 FX-57,0.0,104.0,2009-03-01,939,2800.0,1
AMD Athlon 64 FX-59,0.0,0.0,2013-05-01,939,3000.0,1
AMD Athlon 64 FX-60 Dual Core,0.0,110.0,2009-02-01,939,2600.0,2
AMD Athlon 64 FX-62 Dual Core,270.0,125.0,2009-02-01,AM2,2800.0,2
AMD Athlon 64 FX-74,499.5,125.0,2009-03-01,F (1207),3000.0,2
AMD Athlon 64 X2 3800+,0.0,89.0,2010-05-01,939,2000.0,2
AMD Athlon 64 X2 Dual Core 3400+,0.0,89.0,2010-10-01,754,2200.0,2
AMD Athlon 64 X2 Dual Core 3600+,68.25,65.0,2008-12-01,AM2,2000.0,2
AMD Athlon 64 X2 Dual Core 3800+,0.0,89.0,2008-11-01,AM2,2000.0,2
AMD Athlon 64 X2 Dual Core 4000+,0.0,65.0,2008-12-01,AM2,2100.0,2
AMD Athlon 64 X2 Dual Core 4200+,109.95,89.0,2008-11-01,AM2,2200.0,2
AMD Athlon 64 X2 Dual Core 4400+,298.95,65.0,2008-12-01,AM2,2300.0,2
AMD Athlon 64 X2 Dual Core 4600+,349.95,65.0,2008-12-01,AM2,2400.0,2
AMD Athlon 64 X2 Dual Core 4800+,149.95,65.0,2008-11-01,AM2,2500.0,2
AMD Athlon 64 X2 Dual Core 5000+,331.49,65.0,2008-12-01,AM2,2600.0,2
AMD Athlon 64 X2 Dual Core 5200+,60.0,65.0,2008-11-01,AM2,2700.0,2
AMD Athlon 64 X2 Dual Core 5400+,52.99,65.0,2008-11-01,AM2,2800.0,2
AMD Athlon 64 X2 Dual Core 5600+,107.21,89.0,2008-11-01,AM2,2800.0,2
AMD Athlon 64 X2 Dual Core 6000+,38.5,89.0,2008-11-01,AM2,3000.0,2
AMD Athlon 64 X2 Dual Core 6400+,249.95,125.0,2008-11-01,AM2,3200.0,2
AMD Athlon 64 X2 Dual Core BE-2300,0.0,45.0,2011-11-01,AM2,1900.0,2
AMD Athlon 64 X2 Dual Core BE-2350,0.0,45.0,2009-05-01,AM2,2100.0,2
AMD Athlon 7450 Dual-Core,0.0,95.0,2009-04-01,AM2+,2400.0,2
AMD Athlon 7550 Dual-Core,14.95,95.0,2009-05-01,AM2+,2500.0,2
AMD Athlon 7750 Dual-Core,79.99,95.0,2009-01-01,AM2+,2700.0,2
AMD Athlon 7850 Dual-Core,99.99,95.0,2009-05-01,AM2+,2800.0,2
AMD Athlon Dual Core 4050e,0.0,45.0,2009-02-01,AM2,2100.0,2
AMD Athlon Dual Core 4450B,31.0,45.0,2009-03-01,AM2+,2300.0,2
AMD Athlon Dual Core 4450e,14.48,45.0,2009-02-01,AM2,2300.0,2
AMD Athlon Dual Core 4850B,0.0,45.0,2010-10-01,AM2+,2500.0,2
AMD Athlon Dual Core 4850e,39.0,45.0,2009-02-01,AM2,2500.0,2
AMD Athlon Dual Core 5000B,95.0,65.0,2009-05-01,AM2,2600.0,2
AMD Athlon Dual Core 5050e,60.0,45.0,2009-02-01,AM2,2600.0,2
AMD Athlon Dual Core 5200B,0.0,65.0,2009-04-01,AM2,2700.0,2
AMD Athlon Dual Core 5400B,0.0,65.0,2009-06-01,AM2,2800.0,2
AMD Athlon Dual Core 5600B,0.0,65.0,2012-03-01,AM2+,2900.0,2
AMD Athlon Gold 3150G,0.0,65.0,2022-01-01,AM4,3500.0,4
AMD Athlon Gold PRO 3150G,0.0,65.0,2020-07-01,AM4,3500.0,4
AMD Athlon Gold PRO 3150GE,0.0,35.0,2020-07-01,AM4,3300.0,4
AMD Athlon II X2 210e,28.49,45.0,2010-12-01,AM3,2600.0,2
AMD Athlon II X2 215,28.97,65.0,2009-09-01,AM3,2700.0,2
AMD Athlon II X2 220,59.95,65.0,2010-06-01,AM3,2800.0,2
AMD Athlon II X2 235e,97.5,45.0,2009-10-01,AM3,2700.0,2
AMD Athlon II X2 240,24.95,65.0,2009-08-01,AM3,2800.0,2
AMD Athlon II X2 240e,37.89,45.0,2009-12-01,AM3,2800.0,2
AMD Athlon II X2 245,39.88,65.0,2009-07-01,AM2+/AM3,2900.0,2
AMD Athlon II X2 245e,19.99,45.0,2011-03-01,AM3,2900.0,2
AMD Athlon II X2 250,38.95,65.0,2009-06-01,AM3,3000.0,2
AMD Athlon II X2 250e,76.73,45.0,2011-06-01,AM3,3000.0,2
AMD Athlon II X2 250u,24.95,25.0,2010-02-01,AM3,1600.0,2
AMD Athlon II X2 255,12.55,65.0,2010-01-01,AM3,3100.0,2
AMD Athlon II X2 260,37.88,65.0,2010-07-01,AM3,3200.0,2
AMD Athlon II X2 260u,83.44,25.0,2010-12-01,AM3,1800.0,2
AMD Athlon II X2 265,12.55,65.0,2010-11-01,AM3,3300.0,2
AMD Athlon II X2 270,15.0,65.0,2011-08-01,AM3,3400.0,2
AMD Athlon II X2 270u,67.67,25.0,2010-11-01,AM3,2000.0,2
AMD Athlon II X2 4450e,0.0,45.0,2010-09-01,AM2,2300.0,2
AMD Athlon II X2 B22,25.95,65.0,2010-01-01,AM3,2800.0,2
AMD Athlon II X2 B24,24.1,65.0,2010-03-01,AM3,3000.0,2
AMD Athlon II X2 B28,39.02,65.0,2012-07-01,AM3,3400.0,2
AMD Athlon II X3 400e,25.49,45.0,2009-12-01,AM3,2200.0,3
AMD Athlon II X3 405e,112.9,45.0,2010-03-01,AM3,2300.0,3
AMD Athlon II X3 415e,75.0,45.0,2010-10-01,AM3,2500.0,3
AMD Athlon II X3 420e,116.15,45.0,2011-06-01,AM3,2600.0,3
AMD Athlon II X3 425,58.34,95.0,2009-08-01,AM3,2700.0,3
AMD Athlon II X3 435,159.95,95.0,2009-11-01,AM3,2900.0,3
AMD Athlon II X3 440,14.76,95.0,2010-02-01,AM3,3000.0,3
AMD Athlon II X3 445,14.99,95.0,2010-07-01,AM3,3100.0,3
AMD Athlon II X3 450,14.96,95.0,2010-11-01,AM3,3200.0,3
AMD Athlon II X3 455,25.76,95.0,2010-12-01,AM3,3300.0,3
AMD Athlon II X3 460,16.74,95.0,2011-08-01,AM3,3400.0,3
AMD Athlon II X4 557,0.0,160.0,2021-07-01,AM3,3200.0,4
AMD Athlon II X4 600e,19.85,45.0,2009-12-01,AM3,2200.0,4
AMD Athlon II X4 605e,25.77,45.0,2009-12-01,AM3,2300.0,4
AMD Athlon II X4 610e,17.03,45.0,2010-08-01,AM3,2400.0,4
AMD Athlon II X4 615e,59.0,45.0,2010-12-01,AM3,2500.0,4
AMD Athlon II X4 620,91.89,95.0,2009-09-01,AM3,2600.0,4
AMD Athlon II X4 630,48.04,95.0,2009-08-01,AM3,2800.0,4
AMD Athlon II X4 631 Quad-Core,12.31,100.0,2011-09-01,FM1,2600.0,4
AMD Athlon II X4 635,17.27,95.0,2010-02-01,AM3,2900.0,4
AMD Athlon II X4 638 Quad-Core,62.85,65.0,2015-04-01,FM1,2700.0,4
AMD Athlon II X4 640,16.46,95.0,2010-06-01,AM3,3000.0,4
AMD Athlon II X4 641 Quad-Core,12.3,100.0,2012-03-01,FM1,2800.0,4
AMD Athlon II X4 645,14.11,95.0,2010-10-01,AM3,3100.0,4
